,windowStartAt,windowEndAt,durationSec,grazingAngleStartDegrees,grazingAngleEndDegrees,targetAzimuthAngleStartDegrees,targetAzimuthAngleEndDegrees,squintAngleStartDegrees,squintAngleEndDegrees,squintAngleEngineeringDegrees,slantRangeStartKm,slantRangeEndKm,groundRangeStartKm,groundRangeEndKm,satelliteId
0,2024-10-18T19:09:02+00:00,2024-10-18T19:19:59+00:00,57.0,57.73307345023903,53.86411816797592,320.4769892296422,241.2458529858543,145.1325995848029,-135.3606095440693,-55.13259958480291,595.5270848194609,621.2126535753034,293.15328354308355,340.0199121824266,Umbra-08
1,2024-10-19T06:35:53+00:00,2024-10-19T06:46:39+00:00,46.0,42.0994604470099,42.01501098474173,245.08407150979093,277.9746280768622,16.024860272696642,-16.46864232747633,73.97513972730336,836.1313081320077,836.9009136093224,569.477008657725,569.7673301185122,Umbra-10
2,2024-10-19T18:50:56+00:00,2024-10-19T19:01:23+00:00,27.0,73.46588906199412,73.75502178067589,58.07584915643024,145.70921719199086,44.267646146136435,-43.18990759284486,45.732353853863565,531.1744820087745,530.71876361066,139.10977185990737,138.74114151004085,Umbra-08
3,2024-10-20T04:57:41+00:00,2024-10-20T05:08:52+00:00,71.0,52.73783528118727,52.57274213890772,214.2454893936698,304.1795648280197,44.56527192532868,-44.85418676023468,45.43472807467132,635.631505617089,636.4551909919966,357.4498935144772,357.05862340505865,Umbra-05
4,2024-10-20T17:59:53+00:00,2024-10-20T18:10:57+00:00,64.0,55.632368966063716,55.79214350714133,330.25431371269906,241.15614036054345,135.159975512627,-135.42659848709644,-45.159975512626986,621.4870265678752,621.2947830390025,322.92334757768623,323.7171003371689,Umbra-05
5,2024-10-21T18:47:26+00:00,2024-10-21T18:58:44+00:00,78.0,44.11516021485333,42.18739995343592,72.89957830950237,132.16827681312398,26.14667706377024,-32.476643427247524,63.85332293622976,811.9937336346867,837.7051925994152,533.6581376560731,570.0171317235787,Umbra-09
6,2024-10-22T05:39:17+00:00,2024-10-22T05:50:31+00:00,74.0,42.06980808982236,42.10757982800088,98.3611481259143,44.22196918175877,152.68534693748506,-152.90593983064122,-62.68534693748507,837.8949426877718,836.6489335659008,570.3771386369451,567.5482648563146,Umbra-09
7,2024-10-22T17:28:33+00:00,2024-10-22T17:39:45+00:00,72.0,50.333350302355875,42.2172409824732,77.49903613484985,145.11586089219819,22.260804915977516,-44.80322231402104,67.73919508402248,661.266630504109,745.0367576106789,390.02019496131686,511.760832420984,Umbra-05
8,2024-10-22T18:53:10+00:00,2024-10-22T19:04:36+00:00,86.0,50.29667679328041,44.72787623872179,68.47246432640456,145.5445413180005,31.618192343836732,-44.78963781206852,58.38180765616327,744.9860616537669,805.0922771755363,435.26412449355456,525.5307183228197,Umbra-09
9,2024-10-23T05:44:37+00:00,2024-10-23T05:56:30+00:00,113.0,42.29192463674107,42.36254110751647,116.74351317371219,27.888946078799624,135.24366613058436,-135.43550051055004,-45.24366613058437,835.058512418029,832.9887078950082,566.9736740690831,562.4250769187307,Umbra-09
10,2024-10-23T06:09:33+00:00,2024-10-23T06:21:04+00:00,91.0,44.67025096767665,44.70736049346323,214.82098135792882,304.47831729913605,44.55876520037762,-44.40615555980088,45.44123479962238,698.157592662665,696.7916058772944,461.43607065228133,458.0859836803448,Umbra-08
11,2024-10-23T18:58:55+00:00,2024-10-23T19:10:00+00:00,65.0,58.31496927578297,55.07867857042901,64.79332406173572,145.98225404434874,36.36204213755862,-44.35583177246801,53.63795786244138,681.6517250000946,704.9914427507362,327.0863666144529,371.04481515102884,Umbra-09
12,2024-10-23T19:10:28+00:00,2024-10-23T19:21:21+00:00,53.0,58.01205185613205,51.1238375315588,309.75814326322563,241.6228616018244,156.11994952033908,-135.49625305412138,-66.11994952033908,592.0777388240145,639.8022504345986,289.4793323005558,372.7642027896296,Umbra-08
13,2024-10-24T05:50:29+00:00,2024-10-24T06:01:53+00:00,84.0,51.426953853841894,51.35800173413258,117.65503254485844,28.733475052851627,135.38998464931782,-135.30080292086126,-45.389984649317825,734.4262386841181,734.283736159257,420.29720227648903,418.3582232197717,Umbra-09
14,2024-10-24T18:51:44+00:00,2024-10-24T19:02:08+00:00,24.0,75.52785814879381,75.5633155571227,57.748841927665,147.25524639279814,44.73778722557182,-44.613997082413704,45.26221277442818,524.6523407601227,524.7988916838578,120.57081012996703,122.46927311005152,Umbra-08
15,2024-10-24T19:04:38+00:00,2024-10-24T19:15:22+00:00,44.0,67.53772040499021,67.74860416514584,57.74580235460795,146.40484419111303,44.46729336533151,-43.893735698103114,45.53270663466849,632.9153988784811,632.4063117650473,220.4216208346317,220.71534021618828,Umbra-09
16,2024-10-25T05:31:56+00:00,2024-10-25T05:43:27+00:00,91.0,42.243443742984915,42.064770455859126,113.34217358866862,32.24641706406231,139.41672154842365,-139.10426834595916,-49.416721548423666,724.7349617311493,725.8962203503313,498.00810318566744,498.1874121504222,Umbra-08
17,2024-10-25T05:56:19+00:00,2024-10-25T06:07:13+00:00,54.0,62.94824081470131,63.0072301543902,118.32487969527216,30.348108145637326,135.78321741276454,-135.96454894326448,-45.78321741276454,654.389345825449,653.6405444500888,273.36010125750744,270.0402760682705,Umbra-09
